"Sequence","Cluster"
"CA441947.1 UI-H-ED0-axl-j-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-08-0-UI 3', mRNA sequence",58
"CA441946.1 UI-H-ED0-axl-j-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-06-0-UI 3', mRNA sequence",59
"CA441945.1 UI-H-ED0-axl-j-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-04-0-UI 3', mRNA sequence",60
"CA441944.1 UI-H-ED0-axl-j-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-02-0-UI 3', mRNA sequence",61
"CA441943.1 UI-H-ED0-axl-h-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-24-0-UI 3', mRNA sequence",62
"CA441942.1 UI-H-ED0-axl-h-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-22-0-UI 3', mRNA sequence",63
"CA441941.1 UI-H-ED0-axl-h-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-18-0-UI 3', mRNA sequence",64
"CA441940.1 UI-H-ED0-axl-h-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-16-0-UI 3', mRNA sequence",65
"CA441939.1 UI-H-ED0-axl-h-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-14-0-UI 3', mRNA sequence",22
"CA441938.1 UI-H-ED0-axl-h-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-10-0-UI 3', mRNA sequence",66
"CA441937.1 UI-H-ED0-axl-h-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-08-0-UI 3', mRNA sequence",67
"CA441936.1 UI-H-ED0-axl-h-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-02-0-UI 3', mRNA sequence",68
"CA441935.1 UI-H-ED0-axl-f-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-24-0-UI 3', mRNA sequence",69
"CA441934.1 UI-H-ED0-axl-f-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-22-0-UI 3', mRNA sequence",70
"CA441933.1 UI-H-ED0-axl-f-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-20-0-UI 3', mRNA sequence",71
"CA441932.1 UI-H-ED0-axl-f-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-18-0-UI 3', mRNA sequence",72
"CA441931.1 UI-H-ED0-axl-f-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-16-0-UI 3', mRNA sequence",73
"CA441930.1 UI-H-ED0-axl-f-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-14-0-UI 3', mRNA sequence",74
"CA441929.1 UI-H-ED0-axl-f-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-12-0-UI 3', mRNA sequence",75
"CA441928.1 UI-H-ED0-axl-f-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-10-0-UI 3', mRNA sequence",76
"CA441927.1 UI-H-ED0-axl-f-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-08-0-UI 3', mRNA sequence",77
"CA441926.1 UI-H-ED0-axl-f-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-06-0-UI 3', mRNA sequence",78
"CA441925.1 UI-H-ED0-axl-f-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-04-0-UI 3', mRNA sequence",79
"CA441924.1 UI-H-ED0-axl-f-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-02-0-UI 3', mRNA sequence",80
"CA441923.1 UI-H-ED0-axl-d-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-24-0-UI 3', mRNA sequence",81
"CA441922.1 UI-H-ED0-axl-d-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-22-0-UI 3', mRNA sequence",82
"CA441921.1 UI-H-ED0-axl-d-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-18-0-UI 3', mRNA sequence",83
"CA441920.1 UI-H-ED0-axl-d-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-16-0-UI 3', mRNA sequence",84
"CA441919.1 UI-H-ED0-axl-d-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-14-0-UI 3', mRNA sequence",85
"CA441918.1 UI-H-ED0-axl-d-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-12-0-UI 3', mRNA sequence",86
"CA441917.1 UI-H-ED0-axl-d-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-10-0-UI 3', mRNA sequence",87
"CA441916.1 UI-H-ED0-axl-d-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-08-0-UI 3', mRNA sequence",88
"CA441915.1 UI-H-ED0-axl-d-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-04-0-UI 3', mRNA sequence",89
"CA441914.1 UI-H-ED0-axl-d-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-02-0-UI 3', mRNA sequence",90
"CA441913.1 UI-H-ED0-axl-b-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-24-0-UI 3', mRNA sequence",91
"CA441912.1 UI-H-ED0-axl-b-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-22-0-UI 3', mRNA sequence",92
"CA441911.1 UI-H-ED0-axl-b-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-20-0-UI 3', mRNA sequence",93
"CA441910.1 UI-H-ED0-axl-b-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-18-0-UI 3', mRNA sequence",94
"CA441909.1 UI-H-ED0-axl-b-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-16-0-UI 3', mRNA sequence",95
"CA441908.1 UI-H-ED0-axl-b-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-14-0-UI 3', mRNA sequence",96
"CA441907.1 UI-H-ED0-axl-b-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-10-0-UI 3', mRNA sequence",97
"CA441906.1 UI-H-ED0-axl-b-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-08-0-UI 3', mRNA sequence",98
"CA441905.1 UI-H-ED0-axl-b-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-06-0-UI 3', mRNA sequence",99
"CA441904.1 UI-H-ED0-axl-b-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-b-04-0-UI 3', mRNA sequence",100
"CA441903.1 UI-H-ED0-axl-p-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-21-0-UI 3', mRNA sequence",101
"CA441902.1 UI-H-ED0-axl-p-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-19-0-UI 3', mRNA sequence",102
"CA441901.1 UI-H-ED0-axl-p-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-11-0-UI 3', mRNA sequence",103
"CA441900.1 UI-H-ED0-axl-p-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-09-0-UI 3', mRNA sequence",104
"CA441899.1 UI-H-ED0-axl-p-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-05-0-UI 3', mRNA sequence",105
"CA441898.1 UI-H-ED0-axl-p-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-03-0-UI 3', mRNA sequence",106
"CA441897.1 UI-H-ED0-axl-p-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-01-0-UI 3', mRNA sequence",107
"CA441896.1 UI-H-ED0-axl-n-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-23-0-UI 3', mRNA sequence",108
"CA441895.1 UI-H-ED0-axl-n-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-21-0-UI 3', mRNA sequence",109
"CA441894.1 UI-H-ED0-axl-n-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-19-0-UI 3', mRNA sequence",110
"CA441893.1 UI-H-ED0-axl-n-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-13-0-UI 3', mRNA sequence",111
"CA441892.1 UI-H-ED0-axl-n-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-11-0-UI 3', mRNA sequence",112
"CA441891.1 UI-H-ED0-axl-n-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-09-0-UI 3', mRNA sequence",113
"CA441890.1 UI-H-ED0-axl-n-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-05-0-UI 3', mRNA sequence",114
"CA441889.1 UI-H-ED0-axl-n-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-03-0-UI 3', mRNA sequence",115
"CA441888.1 UI-H-ED0-axl-n-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-01-0-UI 3', mRNA sequence",116
"CA441887.1 UI-H-ED0-axl-l-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-23-0-UI 3', mRNA sequence",117
"CA441886.1 UI-H-ED0-axl-l-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-21-0-UI 3', mRNA sequence",118
"CA441885.1 UI-H-ED0-axl-l-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-19-0-UI 3', mRNA sequence",119
"CA441884.1 UI-H-ED0-axl-l-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-17-0-UI 3', mRNA sequence",120
"CA441883.1 UI-H-ED0-axl-l-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-15-0-UI 3', mRNA sequence",121
"CA441882.1 UI-H-ED0-axl-l-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-13-0-UI 3', mRNA sequence",122
"CA441881.1 UI-H-ED0-axl-l-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-07-0-UI 3', mRNA sequence",123
"CA441880.1 UI-H-ED0-axl-l-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-05-0-UI 3', mRNA sequence",124
"CA441879.1 UI-H-ED0-axl-l-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-03-0-UI 3', mRNA sequence",125
"CA441878.1 UI-H-ED0-axl-l-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-01-0-UI 3', mRNA sequence",126
"CA441877.1 UI-H-ED0-axl-j-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-21-0-UI 3', mRNA sequence",127
"CA441876.1 UI-H-ED0-axl-j-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-19-0-UI 3', mRNA sequence",128
"CA441875.1 UI-H-ED0-axl-j-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-17-0-UI 3', mRNA sequence",129
"CA441874.1 UI-H-ED0-axl-j-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-15-0-UI 3', mRNA sequence",130
"CA441873.1 UI-H-ED0-axl-j-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-13-0-UI 3', mRNA sequence",131
"CA441872.1 UI-H-ED0-axl-j-11-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-11-0-UI 3', mRNA sequence",132
"CA441871.1 UI-H-ED0-axl-j-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-09-0-UI 3', mRNA sequence",133
"CA441870.1 UI-H-ED0-axl-j-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-05-0-UI 3', mRNA sequence",134
"CA441869.1 UI-H-ED0-axl-j-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-01-0-UI 3', mRNA sequence",135
"CA441868.1 UI-H-ED0-axl-h-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-21-0-UI 3', mRNA sequence",136
"CA441867.1 UI-H-ED0-axl-h-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-19-0-UI 3', mRNA sequence",137
"CA441866.1 UI-H-ED0-axl-h-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-17-0-UI 3', mRNA sequence",138
"CA441865.1 UI-H-ED0-axl-h-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-15-0-UI 3', mRNA sequence",139
"CA441864.1 UI-H-ED0-axl-h-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-13-0-UI 3', mRNA sequence",62
"CA441863.1 UI-H-ED0-axl-h-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-09-0-UI 3', mRNA sequence",140
"CA441862.1 UI-H-ED0-axl-h-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-h-05-0-UI 3', mRNA sequence",141
"CA441860.1 UI-H-ED0-axl-f-23-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-23-0-UI 3', mRNA sequence",142
"CA441859.1 UI-H-ED0-axl-f-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-21-0-UI 3', mRNA sequence",143
"CA441858.1 UI-H-ED0-axl-f-13-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-13-0-UI 3', mRNA sequence",144
"CA441857.1 UI-H-ED0-axl-f-09-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-09-0-UI 3', mRNA sequence",145
"CA441856.1 UI-H-ED0-axl-f-07-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-07-0-UI 3', mRNA sequence",146
"CA441855.1 UI-H-ED0-axl-f-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-05-0-UI 3', mRNA sequence",88
"CA441854.1 UI-H-ED0-axl-f-03-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-03-0-UI 3', mRNA sequence",147
"CA441853.1 UI-H-ED0-axl-f-01-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-f-01-0-UI 3', mRNA sequence",148
"CA441852.1 UI-H-ED0-axl-d-21-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-21-0-UI 3', mRNA sequence",149
"CA441851.1 UI-H-ED0-axl-d-19-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-19-0-UI 3', mRNA sequence",150
"CA441850.1 UI-H-ED0-axl-d-17-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-17-0-UI 3', mRNA sequence",151
"CA441849.1 UI-H-ED0-axl-d-15-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-15-0-UI 3', mRNA sequence",152
"CA441847.1 UI-H-ED0-axl-d-05-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-d-05-0-UI 3', mRNA sequence",153
